,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
328,saint-joseph,75.0,FR,2018-11-13,87.0,43.56,6.97,59.0,4.7
329,preobrazheniye,0.0,RU,2018-11-13,55.0,42.9,133.91,37.84,3.27
330,canavieiras,64.0,BR,2018-11-13,100.0,-15.68,-38.95,73.39,3.0
331,tonota,0.0,BW,2018-11-13,35.0,-21.44,27.46,73.4,12.75
332,pombas,76.0,BR,2018-11-13,87.0,-15.9,-54.74,75.42,2.37
333,las palmas,20.0,PE,2018-11-13,87.0,-6.53,-76.35,76.05,2.26
334,cento,20.0,IT,2018-11-13,87.0,44.73,11.29,55.4,3.36
335,rawson,8.0,AR,2018-11-13,78.0,-43.3,-65.11,52.96,4.27
336,gizo,20.0,IL,2018-11-13,45.0,31.8,34.94,69.8,1.12
337,chinsali,0.0,ZM,2018-11-13,33.0,-10.55,32.07,72.27,13.18
338,arethousa,75.0,GR,2018-11-13,76.0,40.74,23.59,50.0,3.04
339,sao felix do xingu,20.0,BR,2018-11-13,95.0,-6.64,-51.99,74.52,2.71
340,sao miguel do araguaia,8.0,BR,2018-11-13,92.0,-13.28,-50.16,75.19,8.14
341,aksu,90.0,KZ,2018-11-13,85.0,52.04,76.93,17.6,13.42
342,storsteinnes,75.0,NO,2018-11-13,100.0,69.24,19.23,41.0,1.77
343,ouidah,40.0,BJ,2018-11-13,94.0,6.37,2.09,78.8,3.36
344,maceio,20.0,BR,2018-11-13,94.0,-9.67,-35.74,73.4,4.7
345,constitucion,0.0,MX,2018-11-13,85.0,23.99,-104.67,38.83,3.6
346,ouadda,0.0,CF,2018-11-13,59.0,8.07,22.4,69.39,12.66
347,tarakan,88.0,ID,2018-11-13,93.0,3.3,117.63,83.29,3.11
348,ancud,24.0,CL,2018-11-13,85.0,-41.87,-73.83,42.43,2.59
349,kudahuvadhoo,36.0,MV,2018-11-13,100.0,2.67,72.89,81.9,13.67
350,zaykovo,12.0,RU,2018-11-13,61.0,57.56,62.76,23.85,11.05
351,ambovombe,32.0,MG,2018-11-13,88.0,-25.18,46.09,72.72,18.37
352,menongue,0.0,AO,2018-11-13,30.0,-14.66,17.68,70.51,6.29
353,cuamba,0.0,MZ,2018-11-13,64.0,-14.8,36.54,70.69,8.03
354,kabin buri,32.0,TH,2018-11-13,66.0,13.95,101.72,90.58,5.35
355,makakilo city,1.0,US,2018-11-13,73.0,21.35,-158.09,77.0,6.93
356,surab,0.0,PK,2018-11-13,72.0,28.49,66.26,60.57,4.12
357,poum,0.0,MK,2018-11-13,70.0,41.28,20.71,24.21,1.48
358,northam,0.0,GB,2018-11-13,87.0,51.04,-4.21,51.8,5.82
359,amursk,32.0,RU,2018-11-13,63.0,50.23,136.9,33.34,6.91
360,huai mek,75.0,TH,2018-11-13,49.0,16.59,103.24,93.2,4.7
361,uvarovka,0.0,RU,2018-11-13,73.0,55.53,35.61,16.2,13.18
362,zhangye,0.0,CN,2018-11-13,77.0,38.94,100.46,39.51,10.83
363,acapulco,40.0,MX,2018-11-13,88.0,16.86,-99.88,78.8,4.56
364,cabras,92.0,CO,2018-11-13,97.0,5.5,-75.6,61.83,1.59
365,fortuna,0.0,ES,2018-11-13,87.0,38.18,-1.13,53.6,4.7
366,seoul,0.0,KR,2018-11-13,35.0,37.57,126.98,59.0,10.29
367,necochea,92.0,AR,2018-11-13,95.0,-38.55,-58.74,65.83,8.3
368,praia,0.0,BR,2018-11-13,77.0,-20.25,-43.81,69.8,5.82
369,bere,0.0,NG,2018-11-13,96.0,8.48,4.47,69.66,5.61
370,nelson,36.0,CA,2018-11-13,86.0,49.49,-117.29,18.09,1.7
371,bulancak,92.0,TR,2018-11-13,100.0,40.94,38.23,44.59,2.55
372,novyye gorki,0.0,RU,2018-11-13,82.0,56.73,41.06,12.06,13.29
373,finschhafen,88.0,PG,2018-11-13,96.0,-6.6,147.85,75.51,2.82
374,bonfim,24.0,GY,2018-11-13,61.0,3.36,-59.84,84.46,14.63
375,erenhot,0.0,CN,2018-11-13,47.0,43.65,111.97,51.93,10.83
376,danielskuil,0.0,ZA,2018-11-13,20.0,-28.19,23.54,78.43,12.1
377,celestun,80.0,MX,2018-11-13,92.0,20.87,-90.4,83.11,5.61
378,fukue,90.0,JP,2018-11-13,52.0,35.03,136.69,66.2,10.29
379,jiaonan,0.0,CN,2018-11-13,41.0,35.88,119.98,60.8,4.47
380,planaltina,40.0,BR,2018-11-13,94.0,-15.62,-47.66,68.0,3.36
381,santiago del estero,88.0,AR,2018-11-13,94.0,-27.8,-64.26,69.79,12.17
382,port hedland,0.0,AU,2018-11-13,55.0,-20.31,118.58,89.6,16.11
383,east london,40.0,ZA,2018-11-13,73.0,-33.02,27.91,73.4,3.36
384,angad,20.0,PH,2018-11-13,62.0,17.58,120.63,87.8,6.93
385,samarai,48.0,PG,2018-11-13,100.0,-10.62,150.67,81.04,14.56
386,fort nelson,75.0,CA,2018-11-13,92.0,58.81,-122.69,21.2,3.36
387,bonavista,88.0,CA,2018-11-13,96.0,48.65,-53.11,39.15,29.62
388,grindavik,90.0,IS,2018-11-13,93.0,63.84,-22.43,39.2,2.24
389,nhulunbuy,20.0,AU,2018-11-13,59.0,-12.18,136.78,89.6,14.99
390,macaubas,12.0,BR,2018-11-13,90.0,-13.02,-42.7,67.81,6.06
391,tautira,40.0,PF,2018-11-13,74.0,-17.73,-149.15,80.6,6.93
392,dingle,32.0,PH,2018-11-13,60.0,11.0,122.67,87.43,13.33
393,moram,0.0,NG,2018-11-13,33.0,10.55,12.13,70.02,6.51
394,lumberton,90.0,US,2018-11-13,79.0,30.27,-94.2,46.94,23.04
395,roma,0.0,IT,2018-11-13,93.0,41.89,12.48,55.4,3.36
396,ntchisi,0.0,MW,2018-11-13,56.0,-13.36,33.92,68.0,14.99
397,lebu,20.0,ET,2018-11-13,51.0,8.96,38.73,62.6,6.93
398,sipote,0.0,PT,2018-11-13,96.0,39.79,-7.97,40.81,4.38
399,nioro,32.0,GM,2018-11-13,64.0,13.79,-15.05,70.24,3.6
400,dasoguz,0.0,TM,2018-11-13,38.0,41.84,59.97,24.8,13.87
401,meulaboh,92.0,ID,2018-11-13,100.0,4.14,96.13,76.86,6.91
402,manaure,68.0,CO,2018-11-13,97.0,11.78,-72.45,82.48,20.04
403,alyangula,24.0,AU,2018-11-13,93.0,-13.85,136.42,86.85,15.57
404,broken hill,92.0,AU,2018-11-13,99.0,-31.97,141.45,65.38,4.72
405,ratnagiri,0.0,IN,2018-11-13,82.0,16.98,73.3,87.66,6.91
406,vredendal,92.0,ZA,2018-11-13,88.0,-31.68,18.49,56.61,3.56
407,minab,20.0,IR,2018-11-13,54.0,27.15,57.07,82.4,6.93
408,ust-nera,32.0,RU,2018-11-13,78.0,64.57,143.24,-20.08,1.77
409,srednekolymsk,0.0,RU,2018-11-13,67.0,67.46,153.71,-22.6,2.82
410,sangmelima,92.0,CM,2018-11-13,97.0,2.93,11.98,70.29,2.77
411,barabai,44.0,ID,2018-11-13,71.0,-2.59,115.38,87.93,3.0
412,klaksvik,68.0,FO,2018-11-13,100.0,62.23,-6.59,39.2,1.12
413,waingapu,44.0,ID,2018-11-13,96.0,-9.65,120.26,81.81,4.12
414,niquero,20.0,CU,2018-11-13,92.0,20.04,-77.58,83.16,13.18
415,shetpe,24.0,KZ,2018-11-13,73.0,44.14,52.16,27.31,15.19
416,antalaha,24.0,MG,2018-11-13,96.0,-14.9,50.28,77.94,10.16
417,kemise,0.0,ET,2018-11-13,42.0,10.72,39.87,59.94,1.77
418,ballina,20.0,IE,2018-11-13,93.0,54.11,-9.15,42.8,9.17
419,san rafael del sur,20.0,NI,2018-11-13,94.0,11.85,-86.44,75.2,6.93
420,tirlyanskiy,44.0,RU,2018-11-13,61.0,54.22,58.58,20.88,11.1
421,quatre cocos,40.0,MU,2018-11-13,65.0,-20.21,57.76,82.4,12.75
422,coihaique,0.0,CL,2018-11-13,71.0,-45.58,-72.07,53.6,5.82
423,srikakulam,32.0,IN,2018-11-13,97.0,18.29,83.89,82.8,20.94
424,tokur,8.0,RU,2018-11-13,61.0,53.13,132.9,25.74,2.48
425,kirakira,48.0,SB,2018-11-13,99.0,-10.46,161.92,83.79,15.3
426,kununurra,20.0,AU,2018-11-13,28.0,-15.77,128.74,104.0,8.05
427,huancavelica,0.0,PE,2018-11-13,90.0,-12.79,-74.97,26.46,4.61
428,fort-shevchenko,64.0,KZ,2018-11-13,100.0,44.51,50.26,33.93,22.24
429,leningradskiy,0.0,RU,2018-11-13,100.0,69.38,178.42,9.81,9.37
430,fairbanks,90.0,US,2018-11-13,92.0,64.84,-147.72,24.98,4.7
431,bogorodskoye,92.0,RU,2018-11-13,80.0,52.37,140.44,34.11,9.53
432,blythe,1.0,US,2018-11-13,15.0,33.61,-114.59,57.02,8.05
433,hambantota,8.0,LK,2018-11-13,94.0,6.12,81.12,85.05,15.41
434,akranes,90.0,IS,2018-11-13,93.0,64.32,-22.07,39.2,2.24
435,leczyca,56.0,PL,2018-11-13,93.0,52.06,19.2,42.8,3.36
436,fontanafredda,40.0,IT,2018-11-13,87.0,45.97,12.57,59.0,2.48
437,pochutla,0.0,MX,2018-11-13,100.0,15.74,-96.47,81.27,11.88
438,jimma,44.0,ET,2018-11-13,93.0,7.67,36.84,60.43,1.7
439,grand gaube,40.0,MU,2018-11-13,65.0,-20.01,57.66,82.4,12.75
440,brooks,44.0,CA,2018-11-13,84.0,50.57,-111.89,24.79,9.04
441,pisco,0.0,PE,2018-11-13,88.0,-13.71,-76.2,62.6,2.24
442,victoria,75.0,BN,2018-11-13,74.0,5.28,115.24,86.0,3.36
443,ishigaki,75.0,JP,2018-11-13,78.0,24.34,124.16,77.0,23.04
444,biak,56.0,ID,2018-11-13,71.0,-0.91,122.88,86.98,4.5
445,la paz,5.0,MX,2018-11-13,52.0,24.15,-110.32,69.8,6.93
446,vestmanna,44.0,FO,2018-11-13,100.0,62.16,-7.17,39.2,1.12
447,bedele,12.0,ET,2018-11-13,69.0,8.46,36.35,65.11,3.11
448,bonthe,8.0,SL,2018-11-13,98.0,7.53,-12.5,77.89,2.37
449,esil,68.0,KZ,2018-11-13,70.0,51.96,66.41,20.07,8.52
450,luganville,100.0,VU,2018-11-13,100.0,-15.51,167.18,77.4,6.06
451,tazovskiy,88.0,RU,2018-11-13,66.0,67.47,78.7,-0.28,20.11
452,edd,0.0,ER,2018-11-13,28.0,13.93,41.69,84.15,3.38
453,havre-saint-pierre,40.0,CA,2018-11-13,79.0,50.23,-63.6,19.4,10.29
454,ornskoldsvik,0.0,SE,2018-11-13,100.0,63.29,18.72,37.4,4.7
455,sungaipenuh,64.0,ID,2018-11-13,71.0,-2.08,101.38,78.43,1.32
456,san patricio,8.0,PY,2018-11-13,62.0,-26.98,-56.83,81.31,6.29
457,salamanca,90.0,ES,2018-11-13,93.0,40.97,-5.66,46.4,5.82
458,sabha,0.0,LY,2018-11-13,77.0,27.03,14.43,47.61,5.84
459,grand-lahou,0.0,CI,2018-11-13,95.0,5.24,-5.0,74.7,3.04
460,batemans bay,36.0,AU,2018-11-13,73.0,-35.71,150.18,72.9,7.63
461,maniitsoq,0.0,GL,2018-11-13,100.0,65.42,-52.9,16.56,7.07
462,vidim,90.0,CZ,2018-11-13,93.0,50.47,14.53,44.6,4.7
463,liusha,76.0,CN,2018-11-13,98.0,27.21,108.59,52.24,4.05
464,college,90.0,US,2018-11-13,92.0,64.86,-147.8,24.98,4.7
465,marzuq,0.0,YE,2018-11-13,32.0,14.4,46.47,71.23,3.56
466,aksarka,92.0,RU,2018-11-13,90.0,66.56,67.8,30.6,20.11
467,tombouctou,12.0,ML,2018-11-13,37.0,16.77,-3.01,64.17,2.82
468,half moon bay,75.0,US,2018-11-13,42.0,37.46,-122.43,55.04,3.36
469,helena,1.0,US,2018-11-13,73.0,46.59,-112.04,21.02,3.36
470,san juan de los morros,8.0,VE,2018-11-13,97.0,9.91,-67.35,61.83,2.1
471,thiruvananthapuram,75.0,IN,2018-11-13,70.0,8.48,76.92,86.0,4.7
472,neftcala,92.0,AZ,2018-11-13,100.0,39.37,49.25,53.37,7.81
473,charters towers,0.0,AU,2018-11-13,42.0,-20.07,146.27,86.26,10.83
474,san rafael,48.0,AR,2018-11-13,83.0,-34.61,-68.33,46.26,2.59
475,nyagan,88.0,RU,2018-11-13,81.0,62.14,65.43,26.37,10.27
476,soyo,92.0,AO,2018-11-13,95.0,-6.13,12.37,75.78,3.6
477,moree,0.0,AU,2018-11-13,38.0,-29.46,149.84,82.35,5.91
478,beringovskiy,56.0,RU,2018-11-13,100.0,63.05,179.32,18.63,20.6
479,nizhnevartovsk,90.0,RU,2018-11-13,86.0,60.93,76.58,26.6,6.71
480,arlit,24.0,NE,2018-11-13,31.0,18.74,7.39,57.51,1.77
481,san quintin,20.0,PH,2018-11-13,62.0,17.54,120.52,87.8,6.93
482,mount isa,75.0,AU,2018-11-13,33.0,-20.73,139.49,91.4,17.22
483,mandalgovi,0.0,MN,2018-11-13,64.0,45.76,106.27,38.74,5.5
484,hays,1.0,US,2018-11-13,86.0,38.88,-99.33,12.92,3.36
485,ouro branco,56.0,BR,2018-11-13,96.0,-20.52,-43.69,61.92,3.56
486,jonkoping,40.0,SE,2018-11-13,100.0,57.78,14.16,42.8,5.82
487,jijiga,0.0,ET,2018-11-13,44.0,9.35,42.8,71.82,3.49
488,bongandanga,0.0,CD,2018-11-13,86.0,1.51,21.07,77.31,3.11
489,pinega,88.0,RU,2018-11-13,77.0,64.7,43.39,29.56,10.6
490,norsup,32.0,VU,2018-11-13,100.0,-16.07,167.38,75.46,6.73
491,paka,24.0,HR,2018-11-13,87.0,45.29,18.06,42.8,5.82
492,rurrenabaque,48.0,BO,2018-11-13,88.0,-14.44,-67.53,72.45,2.33
493,barguzin,64.0,RU,2018-11-13,61.0,53.62,109.63,12.06,2.71
494,rypefjord,75.0,NO,2018-11-13,100.0,70.63,23.67,42.8,10.29
495,muisne,92.0,EC,2018-11-13,89.0,0.61,-80.02,73.17,7.52
496,gigmoto,32.0,PH,2018-11-13,95.0,13.78,124.39,83.29,9.31
497,noumea,36.0,NC,2018-11-13,65.0,-22.28,166.46,77.0,18.34
498,van,20.0,TR,2018-11-13,100.0,38.51,43.37,44.6,4.7
499,shache,0.0,CN,2018-11-13,51.0,38.42,77.24,51.21,9.6
500,flinders,0.0,AU,2018-11-13,50.0,-34.58,150.85,77.0,14.99
501,nha trang,0.0,VN,2018-11-13,83.0,12.24,109.19,81.9,9.86
502,faya,0.0,SA,2018-11-13,49.0,18.39,42.45,69.8,6.93
503,san carlos de bariloche,0.0,AR,2018-11-13,81.0,-41.13,-71.31,44.6,6.93
504,orocue,8.0,CO,2018-11-13,82.0,4.79,-71.34,76.68,6.06
505,macenta,68.0,GN,2018-11-13,98.0,8.55,-9.47,66.06,2.37
506,hokitika,0.0,NZ,2018-11-13,92.0,-42.72,170.96,57.69,9.93
507,porto murtinho,0.0,BR,2018-11-13,68.0,-21.7,-57.88,82.98,10.94
508,malanje,36.0,AO,2018-11-13,99.0,-9.54,16.35,65.83,3.49
509,along,48.0,IN,2018-11-13,57.0,28.17,94.8,65.79,1.77
510,shakawe,0.0,BW,2018-11-13,18.0,-18.36,21.84,73.35,11.88
511,tacoronte,75.0,ES,2018-11-13,82.0,28.48,-16.41,66.2,13.87
512,narsaq,56.0,GL,2018-11-13,30.0,60.91,-46.05,41.0,27.51
513,bowen,40.0,AU,2018-11-13,61.0,-20.01,148.25,80.6,19.46
514,dhidhdhoo,0.0,MV,2018-11-13,100.0,6.88,73.1,83.56,9.75
515,douglas,90.0,US,2018-11-13,92.0,58.28,-134.39,46.04,10.94
516,saldanha,88.0,PT,2018-11-13,94.0,41.42,-6.55,38.88,5.57
517,mokhsogollokh,76.0,RU,2018-11-13,59.0,61.4,128.95,1.8,3.83
518,ranghulu,0.0,CN,2018-11-13,56.0,46.63,124.88,41.22,5.5
519,okhotsk,88.0,RU,2018-11-13,93.0,59.36,143.24,30.06,13.96
520,healesville,76.0,AU,2018-11-13,30.0,-37.65,145.52,82.4,25.28
521,manzil kamil,40.0,TN,2018-11-13,93.0,35.62,10.67,62.6,4.34
522,lazaro cardenas,92.0,MX,2018-11-13,63.0,28.39,-105.62,36.36,20.94
523,panguipulli,20.0,CL,2018-11-13,100.0,-39.64,-72.33,42.8,2.24
524,alcaniz,88.0,ES,2018-11-13,80.0,41.05,-0.13,47.16,2.77
525,altay,0.0,CN,2018-11-13,67.0,47.83,88.13,3.6,2.89
526,emba,20.0,CY,2018-11-13,55.0,34.81,32.42,66.2,5.82
527,la sarre,64.0,CA,2018-11-13,100.0,48.8,-79.2,24.03,12.28
528,mount gambier,12.0,AU,2018-11-13,71.0,-37.83,140.78,70.65,5.23
529,desaguadero,32.0,PE,2018-11-13,53.0,-16.56,-69.04,35.37,2.82
530,hailar,0.0,CN,2018-11-13,42.0,49.2,119.7,43.69,11.1
531,arvika,90.0,SE,2018-11-13,100.0,59.65,12.59,44.6,5.82
532,prince rupert,90.0,CA,2018-11-13,37.0,54.32,-130.32,53.6,12.75
533,maldonado,90.0,UY,2018-11-13,94.0,-34.91,-54.96,69.8,11.41
534,ihtiman,40.0,BG,2018-11-13,100.0,42.44,23.81,30.2,3.36
535,xining,0.0,CN,2018-11-13,45.0,36.62,101.77,44.82,2.55
536,san pedro,92.0,AR,2018-11-13,97.0,-33.68,-59.66,70.11,3.78
537,port hardy,75.0,CA,2018-11-13,61.0,50.7,-127.42,48.2,6.93
538,padang,36.0,ID,2018-11-13,100.0,-0.92,100.36,82.71,3.33
539,vila,40.0,IT,2018-11-13,100.0,45.18,8.4,53.6,5.82
540,vorontsovka,0.0,RU,2018-11-13,62.0,50.61,40.34,18.45,11.61
541,galle,90.0,US,2018-11-13,72.0,29.74,-97.91,39.02,22.06
542,kloulklubed,75.0,PW,2018-11-13,74.0,7.04,134.26,84.2,6.93
543,andros town,92.0,BS,2018-11-13,82.0,24.73,-77.79,79.69,12.06
544,pangnirtung,0.0,CA,2018-11-13,100.0,66.15,-65.72,0.45,7.4
