,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
75,atuona,48.0,PF,2018-11-13,100.0,-9.8,-139.03,80.64,18.7
76,barrow,88.0,AR,2018-11-13,98.0,-38.31,-60.23,65.29,1.48
77,gushikawa,90.0,JP,2018-11-13,72.0,26.35,127.87,73.4,11.41
78,marystown,44.0,CA,2018-11-13,97.0,47.17,-55.16,37.8,24.14
79,yelizovo,40.0,RU,2018-11-13,93.0,53.19,158.38,37.4,2.24
80,mindelo,0.0,PT,2018-11-13,100.0,41.31,-8.72,44.6,5.82
81,westerland,90.0,NL,2018-11-13,87.0,52.89,4.93,53.6,23.04
82,puerto escondido,0.0,MX,2018-11-13,100.0,15.86,-97.07,83.79,12.44
83,onega,92.0,RU,2018-11-13,100.0,63.91,38.09,36.72,20.83
84,puerto ayora,76.0,EC,2018-11-13,100.0,-0.74,-90.35,71.37,12.28
85,muramatsu,75.0,JP,2018-11-13,58.0,37.68,139.18,57.2,10.29
86,atambua,12.0,ID,2018-11-13,82.0,-9.11,124.89,86.08,4.79
87,upernavik,36.0,GL,2018-11-13,100.0,72.79,-56.15,17.59,14.63
88,jalu,8.0,LY,2018-11-13,74.0,29.03,21.55,59.49,6.51
89,itarema,88.0,BR,2018-11-13,90.0,-2.92,-39.92,77.85,10.16
90,santa maria,76.0,BR,2018-11-13,53.0,-29.69,-53.81,79.78,12.62
91,tateyama,75.0,JP,2018-11-13,71.0,36.66,137.31,57.2,9.17
92,kieta,88.0,PG,2018-11-13,95.0,-6.22,155.63,81.58,5.79
93,saint george,75.0,GR,2018-11-13,81.0,39.45,22.34,51.8,9.17
94,stuttgart,75.0,DE,2018-11-13,93.0,48.78,9.18,51.8,8.05
95,nome,90.0,US,2018-11-13,79.0,30.04,-94.42,46.94,23.04
96,novo aripuana,32.0,BR,2018-11-13,81.0,-5.12,-60.38,81.13,1.32
97,cruzeiro do sul,0.0,BR,2018-11-13,94.0,-7.63,-72.67,77.0,2.48
98,kavaratti,0.0,IN,2018-11-13,93.0,10.57,72.64,87.43,8.63
99,itoman,75.0,JP,2018-11-13,64.0,26.12,127.67,73.4,20.8
100,fershampenuaz,20.0,RU,2018-11-13,60.0,53.52,59.82,20.38,10.94
101,alice springs,56.0,AU,2018-11-13,16.0,-23.7,133.88,96.8,8.05
102,melfi,5.0,IT,2018-11-13,87.0,41.0,15.66,44.6,5.82
103,bindi,0.0,NG,2018-11-13,56.0,12.86,8.84,61.11,3.11
104,hobart,0.0,AU,2018-11-13,18.0,-42.88,147.33,82.4,20.8
105,montepuez,12.0,MZ,2018-11-13,54.0,-13.13,39.0,75.91,11.54
106,tura,0.0,IN,2018-11-13,71.0,25.52,90.21,78.57,4.23
107,qaanaaq,64.0,GL,2018-11-13,100.0,77.48,-69.36,7.38,4.9
108,chernyshevskiy,32.0,RU,2018-11-13,100.0,63.01,112.47,-5.99,4.9
109,izhma,88.0,RU,2018-11-13,75.0,65.01,53.91,26.19,8.37
110,kaitangata,12.0,NZ,2018-11-13,70.0,-46.28,169.85,60.16,7.52
111,benjamin hill,0.0,MX,2018-11-13,36.0,30.17,-111.1,46.66,16.42
112,nanortalik,80.0,GL,2018-11-13,85.0,60.14,-45.24,36.45,27.6
113,sitka,0.0,US,2018-11-13,69.0,37.17,-99.65,10.84,6.58
114,clyde river,1.0,CA,2018-11-13,83.0,70.47,-68.59,-9.41,6.93
115,verkhniy baskunchak,56.0,KZ,2018-11-13,61.0,48.23,46.72,25.65,20.67
116,saint-augustin,90.0,FR,2018-11-13,100.0,44.83,-0.61,48.2,2.24
117,castro,0.0,CL,2018-11-13,99.0,-42.48,-73.76,40.32,2.71
118,botad,0.0,IN,2018-11-13,35.0,22.17,71.67,90.45,4.56
119,cabo san lucas,5.0,MX,2018-11-13,64.0,22.89,-109.91,68.0,8.05
120,alofi,76.0,NU,2018-11-13,78.0,-19.06,-169.92,77.0,5.82
121,gobabis,0.0,NA,2018-11-13,19.0,-22.45,18.97,73.35,14.12
122,jamestown,32.0,AU,2018-11-13,41.0,-33.21,138.6,76.05,5.28
123,summerville,90.0,US,2018-11-13,100.0,33.02,-80.17,69.8,11.32
124,georgetown,0.0,GY,2018-11-13,100.0,6.8,-58.16,75.2,2.24
125,lagoa,0.0,PT,2018-11-13,93.0,37.14,-8.45,53.6,4.7
126,hamilton,20.0,BM,2018-11-13,60.0,32.3,-64.78,69.8,14.99
127,progreso,90.0,UY,2018-11-13,88.0,-34.68,-56.22,71.6,13.87
128,maragogi,88.0,BR,2018-11-13,100.0,-9.01,-35.22,74.52,3.78
129,storforshei,75.0,NO,2018-11-13,100.0,66.4,14.52,37.4,2.04
130,kavieng,36.0,PG,2018-11-13,100.0,-2.57,150.8,85.23,7.92
131,tomatlan,24.0,MX,2018-11-13,76.0,19.93,-105.25,69.21,2.26
132,touros,92.0,BR,2018-11-13,98.0,-5.2,-35.46,76.36,10.83
133,kualakapuas,40.0,ID,2018-11-13,70.0,-3.01,114.39,87.8,3.36
